SRA_Run_ID	Unique_reads_in_Sample	Unique_hits_in_Blast	Unique_hits_perc_in_Blast	Total_reads_in_Sample	Total_hits_in_Blast	Total_hits_perc_in_Blast	Blast_mapping_cutoff	Unique_reads_in_Sample	Unique_hits_in_Bowtie2	Unique_hits_perc_in_Bowtie2	Total_reads_in_Sample	Total_hits_in_Bowtie2	Total_hits_perc_in_Bowtie2	Bowtie2_mapping_cutoff	Run	RunType	RunSpots	SampleAlias	SampleAccession	StudyAlias	StudyAccession	StudyTitle	StudyAbstract	BioSampleModel	Time point	Treatment	collected_by	collection_date	collection_method	culture_collection	env_broad_scale	env_local_scale	env_medium	genotype	geo_loc_name	host	host_age	host_description	host_disease	host_disease_outcome	host_disease_stage	host_health_state	host_sex	host_subject_id	host_tissue_sampled	isol_growth_condt	isolate	isolation_source	lat_lon	num_replicons	passage_history	pathotype	ref_biomaterial	replicate	sample_type	serotype	serovar	specimen_voucher	strain	subgroup	subtype	urine_collect_meth	urogenit_tract_disor
SRR22824589	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824589	SINGLE	5816	10693850MRS4	SRS16218187	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	MRS	Isolate 174	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824592	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824592	SINGLE	5666	10693850MRS1	SRS16218184	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	MRS	Isolate 171	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824594	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824594	SINGLE	2410	10693850LP-MRS10	SRS16218182	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	LP-MRS	Isolate 170	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824596	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824596	SINGLE	2464	10693850LP-MRS8	SRS16218180	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	LP-MRS	Isolate 168	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824598	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824598	SINGLE	1696	10693850LP-MRS6	SRS16218178	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	LP-MRS	Isolate 166	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824599	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824599	SINGLE	2090	10693850LP-MRS5	SRS16218177	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	LP-MRS	Isolate 165	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824600	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824600	SINGLE	2439	10693850LP-MRS4	SRS16218176	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	LP-MRS	Isolate 164	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824601	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824601	SINGLE	2216	10693850LP-MRS3	SRS16218175	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	LP-MRS	Isolate 163	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824636	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824636	SINGLE	5867	10692698MRS10	SRS16218140	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	MRS	Isolate 150	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824647	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824647	SINGLE	6811	10692698LP-MRS10	SRS16218129	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	LP-MRS	Isolate 140	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824648	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824648	SINGLE	6372	10692698LP-MRS9	SRS16218128	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	LP-MRS	Isolate 139	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR22824649	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR22824649	SINGLE	6887	10692698LP-MRS8	SRS16218126	PRJNA914123	SRP414029	16S rRNA gene-based bacterial identification using ONT MinION sequencing	Most bacterial identification methods require extensive culturing, strain purification and DNA extraction protocols. This leads to additional expenses and time lags when isolating specific bacteria from complex microbiological ecosystems. This study aimed to develop a fast and robust method for identification of lactobacilli, bifidobacteria and Bacteroides in human faecal samples.	MIGS/MIMS/MIMARKS.human-gut	-	-	-	2020	-	-	Human faeces	Not applicable	Faeces	-	Germany	Homo sapiens	-	-	-	-	-	-	-	-	-	LP-MRS	Isolate 138	-	Not collected	-	-	-	-	-	-	-	-	-	-	-	-	-	-
SRR23948644	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR23948644	PAIRED	30972417	15	SRS17122811	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	18h	PL	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	2	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
SRR23948646	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR23948646	PAIRED	19615290	13	SRS17122809	PRJNA947989	SRP428935	Synergistic interaction between antibiotics and phages against different species of Enterococcus.	This study focused on finding co-operativity between phages and antibiotics against various strains of vancomycin resistant E. faecalis and E. faecium. We specifically looked for a synergistic interaction between phages and antibiotics that affected the bacterial growth over 18 hours of co-cultivation in liquid medium. The successful combinations of phage and antibiotic synergy were identified based on the comparison of percentage reduction of bacterial growth in the presence of both antibiotic and phage versus either phage or antibiotic only. Furthermore, RNA sequencing was performed on the bacterial samples isolated from these synergy interactions. The goal of RNA sequencing was to understand the molecular mechanism underpinning these synergistic interactions.	Pathogen.cl	18h	Vancomycin	Center for Advanced Laboratory Medicine (CALM), UC San Diego Health	2018-09-29	-	not applicable	-	-	-	not applicable	USA: California, UC San Diego Health	Homo sapiens	not applicable	not applicable	Bacterial infection	not applicable	not applicable	not applicable	male	not applicable	not applicable	-	hospital	Ulcer Tissue	32.878073 N 117.225179 W	-	not applicable	not applicable	-	2	-	not applicable	not applicable	not applicable	EF116PII	not applicable	not applicable	-	-
SRR25068139	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR25068139	SINGLE	96132	UMB8091	SRS18101103	PRJNA316969	SRP072679	Female Urinary Microbiota Genome Sequencing	Recently, bacterial communities (microbiota) have been discovered in the female bladder. Thus, the aEURoesterile urineaEUR paradigm is no longer valid. In an effort to provide a comprehensive view of the newly discovered female urinary microbiota (FUM), we have established an Enhanced Quantitative Urine Culture (EQUC) protocol. EQUC isolates bacteria from 75-90% of urine samples deemed 'no growth' by the standard clinical microbiology urine culture method. We have begun to sequence and annotate the genomes of these isolated bacteria.	MIGS/MIMS/MIMARKS.human-associated	-	-	-	NA	bladder catheter	-	Human bacterial culture	Bladder	Urine	-	USA: Maywood, IL	Homo sapiens	-	-	-	-	-	-	-	-	-	NA	-	-	41.85911095 N 87.83527146 W	not provided	-	-	missing	-	-	-	-	-	UMB8091	-	-	-	-
SRR25145432	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR25145432	PAIRED	1390735	UMB11010	SRS18168466	PRJNA970254	SRP447426	Genomic Catalog of Human Bladder Bacteria	We have developed a bladder-specific bacterial reference database consisting of 1134 genomes to aid in genomic, functional, and experimental analyses of the human bladder microbiota. The genomes were derived from bacterial isolates collected from bladder urine through transurethral catheterization using a metaculturomic approach. The reference database encompasses 196 species, including major aerobes, facultative anaerobes, and some anaerobes. It will facilitate bladder microbiota research by allowing hypothesis-driven investigations and cross-site comparisons.	MIGS/MIMS/MIMARKS.human-associated	-	-	-	2017-06	bladder catheter	-	Human bacterial culture	Bladder	Urine	-	USA: Maywood, IL	Homo sapiens	-	-	-	-	-	-	-	-	-	NA	-	-	41.85911095 N 87.83527146 W	not provided	-	-	missing	-	-	-	-	-	UMB11010	-	-	-	-
SRR26846710	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SRR26846710	PAIRED	1	16s9	SRS19551784	PRJNA1041067	SRP472283	The 16SrDNA sequencing data of culturable intratumor microbiota	The 16S rDNA sequencing data of culturable intratumor microbiota from tumor tissues of MMTV-PyMT:mice	Microbe, viral or environmental	-	-	-	2023-04-15	-	-	-	-	-	-	China:Xiamen	-	-	-	-	-	-	-	-	-	-	-	tissue	tumor	-	-	-	-	-	-	Cultivable bacteria	-	-	-	-	-	-	-	-
SRR28710901	-	-	-	-	-	-	-	80659	0	0.0000	90065	0	0.0000	FAIL	SRR28710901	PAIRED	900697	UMB4920	SRS21042656	PRJNA316969	SRP072679	Female Urinary Microbiota Genome Sequencing	Recently, bacterial communities (microbiota) have been discovered in the female bladder. Thus, the aEURoesterile urineaEUR paradigm is no longer valid. In an effort to provide a comprehensive view of the newly discovered female urinary microbiota (FUM), we have established an Enhanced Quantitative Urine Culture (EQUC) protocol. EQUC isolates bacteria from 75-90% of urine samples deemed 'no growth' by the standard clinical microbiology urine culture method. We have begun to sequence and annotate the genomes of these isolated bacteria.	MIGS/MIMS/MIMARKS.human-associated	-	-	-	2016-08-01	-	-	Human bacterial culture	urinary tract	urine	-	USA: Maywood, IL	Homo sapiens	-	-	-	-	-	-	female	-	-	26962083	-	-	41.86 N 87.84 W	1	-	-	unpublished	-	-	-	-	-	UMB4920	-	-	catheter	-
SRR28710903	-	-	-	-	-	-	-	100986	0	0.0000	116854	0	0.0000	FAIL	SRR28710903	PAIRED	1168587	UMB11011A	SRS21042659	PRJNA316969	SRP072679	Female Urinary Microbiota Genome Sequencing	Recently, bacterial communities (microbiota) have been discovered in the female bladder. Thus, the aEURoesterile urineaEUR paradigm is no longer valid. In an effort to provide a comprehensive view of the newly discovered female urinary microbiota (FUM), we have established an Enhanced Quantitative Urine Culture (EQUC) protocol. EQUC isolates bacteria from 75-90% of urine samples deemed 'no growth' by the standard clinical microbiology urine culture method. We have begun to sequence and annotate the genomes of these isolated bacteria.	MIGS/MIMS/MIMARKS.human-associated	-	-	-	2020-08-24	-	-	Human bacterial culture	urinary tract	urine	-	USA: Maywood, IL	Homo sapiens	-	-	-	-	-	-	male	-	-	26962083	-	-	41.86 N 87.84 W	1	-	-	unpublished	-	-	-	-	-	UMB11011A	-	-	catheter	-
SRR28710904	-	-	-	-	-	-	-	117797	0	0.0000	133284	0	0.0000	FAIL	SRR28710904	PAIRED	1332975	UMB2909	SRS21042655	PRJNA316969	SRP072679	Female Urinary Microbiota Genome Sequencing	Recently, bacterial communities (microbiota) have been discovered in the female bladder. Thus, the aEURoesterile urineaEUR paradigm is no longer valid. In an effort to provide a comprehensive view of the newly discovered female urinary microbiota (FUM), we have established an Enhanced Quantitative Urine Culture (EQUC) protocol. EQUC isolates bacteria from 75-90% of urine samples deemed 'no growth' by the standard clinical microbiology urine culture method. We have begun to sequence and annotate the genomes of these isolated bacteria.	MIGS/MIMS/MIMARKS.human-associated	-	-	-	2016-04-07	-	-	Human bacterial culture	urinary tract	urine	-	USA: Maywood, IL	Homo sapiens	-	-	-	-	-	-	female	-	-	26962083	-	-	41.86 N 87.84 W	1	-	-	unpublished	-	-	-	-	-	UMB2909	-	-	catheter	-
